road_node,lat,lon,weight
292206273,22.276751,114.1794842,403.7308654785156
292206276,22.2758324,114.1793548,397.1011047363281
292206280,22.2766303,114.1781773,351.4729919433594
293111736,22.2790477,114.171761,337.94091796875
293111738,22.2795104,114.176662,366.0586242675781
293112651,22.2804492,114.1511304,1156.5088500976562
293113206,22.284983,114.1392101,740.5455322265625
293113344,22.2802777,114.1292574,3192.9628295898438
293113915,22.2772319,114.130962,518.0558090209961
293114098,22.2795322,114.1296455,1200.4725341796875
293114100,22.2788499,114.129419,732.3263549804688
293114164,22.2809089,114.128518,741.1714477539062
293114242,22.2812839,114.1270849,2375.522216796875
293114327,22.2839824,114.127829,646.6856079101562
293114396,22.2833035,114.12806,976.7448425292969
293114549,22.2823734,114.1268588,486.623779296875
293114630,22.2830534,114.1267503,444.92681884765625
293114632,22.282589,114.1281973,817.7202758789062
293114882,22.283451,114.1289224,660.6846923828125
293114922,22.2821452,114.1291771,1442.57568359375
293127628,22.2817487,114.1266948,680.6629028320312
293127758,22.2826184,114.124659,1752.5431823730469
293127760,22.2820854,114.1247546,1223.534423828125
293128672,22.2699325,114.1255626,474.5393524169922
293128731,22.2702929,114.1284523,263.59002685546875
293128736,22.2703937,114.1267356,106.73333740234376
293129408,22.2682552,114.1302668,625.2051162719727
293129452,22.2703321,114.1303126,125.67172241210938
293129472,22.270421,114.1297093,316.5036926269531
293129609,22.2694087,114.1267112,126.02668762207033
293129677,22.269692,114.1273597,176.40090942382812
293129765,22.2700723,114.12615,115.15695190429688
293398223,22.2808217,114.169066,345.21636962890625
293572314,22.2841508,114.1911479,188.27047729492188
293572315,22.2841642,114.1916871,178.97698974609375
293572317,22.2842389,114.1926408,222.4439392089844
293572584,22.276615,114.1951434,848.0793151855469
293572598,22.2766523,114.1945089,314.1578674316406
293572641,22.2762264,114.1930361,207.0763702392578
293572653,22.2766349,114.1932807,355.9743347167969
293572771,22.2845441,114.1952191,1839.4460754394531
293665480,22.2654775,114.1284737,130.08251953125
293665487,22.263442,114.1283235,536.7986679077148
293665672,22.2629516,114.1305093,643.7435913085938
293667261,22.2562518,114.1337071,2208.7941856384277
294055245,22.2915139,114.2016419,1146.1009521484375
294055247,22.2904737,114.196561,1046.66552734375
294056077,22.2880544,114.2050133,524.3564300537109
294056112,22.2884229,114.2026993,374.13165283203125
294056151,22.2864527,114.2003249,1840.7727813720703
294056228,22.2830958,114.1989737,319.58007431030273
294056230,22.2846187,114.1994251,684.4362945556641
294056355,22.2871282,114.2015026,295.4864501953125
294056511,22.2872537,114.2020521,222.9343719482422
295821679,22.2940873,114.2020964,1906.4114990234375
295823782,22.2792655,114.2363308,1659.4807434082031
295823797,22.2796065,114.2267705,1690.8380737304688
295823841,22.2653829,114.2377066,1899.1023864746094
295823846,22.2713533,114.238844,566.2981567382812
295824117,22.2803571,114.2300196,1623.1405792236328
295884280,22.2910551,114.211496,2534.7996826171875
295884684,22.2929882,114.2081864,339.2948303222656
295884756,22.2928857,114.2049512,354.0678100585937
295887702,22.279102,114.1900731,594.5602722167969
295888215,22.2661711,114.1905366,545.0632019042969
296285357,22.2563995,114.1375333,708.966796875
296285429,22.2570536,114.1381972,700.7132263183594
296285606,22.2593113,114.1369387,140.21128845214844
296292820,22.28587,114.1915952,232.68630981445312
296293329,22.2924678,114.1984945,1203.42626953125
296293561,22.2923377,114.1986926,1898.68310546875
296293855,22.2922823,114.2000444,3523.0557861328125
296294071,22.2917617,114.2001594,2790.1192626953125
296294172,22.292852,114.2028373,349.7667236328125
296294173,22.2936105,114.2026573,402.4263610839844
296294277,22.2925507,114.20621,1615.5247802734375
